Chunk	Total	ok_eng	bad_eng	ok_spa	bad_spa
0	483	483	0	483	0
1	488	488	0	487	1
10	480	480	0	479	1
100	466	466	0	461	5
101	485	485	0	485	0
102	483	483	0	481	2
103	496	496	0	494	2
104	493	493	0	489	4
105	487	487	0	487	0
106	483	483	0	482	1
107	476	476	0	475	1
108	475	475	0	474	1
109	489	489	0	488	1
11	489	489	0	489	0
110	491	491	0	491	0
111	489	489	0	489	0
112	491	491	0	488	3
113	483	483	0	483	0
114	483	483	0	483	0
115	482	482	0	479	3
116	478	478	0	476	2
117	460	460	0	459	1
118	487	487	0	485	2
119	481	480	0	480	0
12	487	487	0	487	0
120	470	470	0	469	1
121	493	493	0	493	0
122	501	501	0	501	0
123	490	490	0	490	0
124	484	484	0	482	2
125	480	480	0	479	1
126	481	481	0	481	0
127	479	479	0	478	1
128	480	480	0	480	0
129	493	493	0	493	0
13	478	478	0	475	3
130	481	481	0	479	2
131	470	470	0	469	1
132	482	482	0	480	2
133	509	509	0	508	1
134	476	476	0	474	2
135	494	494	0	492	2
136	480	480	0	480	0
137	477	477	0	476	1
138	468	468	0	466	2
139	504	504	0	503	1
14	479	479	0	479	0
140	479	478	1	479	0
141	487	487	0	486	1
142	481	481	0	481	0
143	495	495	0	494	1
144	476	476	0	474	2
145	479	479	0	478	1
146	473	473	0	473	0
147	480	480	0	480	0
148	474	474	0	474	0
149	484	484	0	483	1
15	485	485	0	485	0
150	486	486	0	486	0
151	494	494	0	493	1
152	502	502	0	502	0
153	480	480	0	480	0
154	485	485	0	485	0
155	477	477	0	476	1
156	474	474	0	473	1
157	492	492	0	491	1
158	489	488	1	489	0
159	493	493	0	493	0
16	484	484	0	484	0
160	485	485	0	484	1
161	482	482	0	482	0
162	487	487	0	487	0
163	477	477	0	477	0
164	491	491	0	490	1
165	501	501	0	499	2
166	481	481	0	480	1
167	477	477	0	477	0
168	484	484	0	484	0
169	490	490	0	489	1
17	485	485	0	485	0
170	475	475	0	475	0
171	478	478	0	478	0
172	491	491	0	491	0
173	477	477	0	476	1
174	480	480	0	479	1
175	493	493	0	493	0
176	463	463	0	463	0
177	482	482	0	482	0
178	480	480	0	480	0
179	483	483	0	483	0
18	487	487	0	487	0
180	480	480	0	479	1
181	487	487	0	486	1
182	478	478	0	478	0
183	482	482	0	482	0
184	488	487	1	486	2
185	497	497	0	496	1
186	464	464	0	464	0
187	490	490	0	490	0
188	472	472	0	470	2
189	481	481	0	480	1
19	489	489	0	487	2
190	486	486	0	486	0
191	473	472	1	471	2
192	494	494	0	492	2
193	478	478	0	477	1
194	487	487	0	486	1
195	495	495	0	494	1
196	484	484	0	482	2
197	497	497	0	497	0
198	480	480	0	479	1
199	476	476	0	476	0
2	473	473	0	473	0
20	486	486	0	486	0
200	487	487	0	487	0
201	479	479	0	479	0
202	471	471	0	470	1
203	487	487	0	485	2
204	482	481	0	481	0
205	492	492	0	491	1
206	496	496	0	495	1
207	479	479	0	479	0
208	496	495	1	495	1
209	494	494	0	494	0
21	484	484	0	484	0
210	484	484	0	482	2
211	488	488	0	487	1
212	471	471	0	471	0
213	484	484	0	484	0
214	478	478	0	476	2
215	481	481	0	480	1
216	482	482	0	482	0
217	495	495	0	495	0
218	474	474	0	473	1
219	464	464	0	463	1
22	478	478	0	477	1
220	467	467	0	467	0
221	486	486	0	485	1
222	471	471	0	470	1
223	474	474	0	472	2
224	476	476	0	475	1
225	478	478	0	477	1
226	478	477	1	476	2
227	474	474	0	473	1
228	474	474	0	474	0
229	491	491	0	491	0
23	479	479	0	479	0
230	489	489	0	489	0
231	493	493	0	493	0
232	464	464	0	463	1
233	486	486	0	485	1
234	478	478	0	478	0
235	485	485	0	484	1
236	483	483	0	483	0
237	486	486	0	485	1
238	478	478	0	476	2
239	488	488	0	487	1
24	471	471	0	471	0
240	493	493	0	493	0
241	483	483	0	483	0
242	487	487	0	487	0
243	484	484	0	484	0
244	480	480	0	479	1
245	477	477	0	477	0
246	469	469	0	468	1
247	220	220	0	220	0
25	484	484	0	484	0
26	492	492	0	491	1
27	500	500	0	498	2
28	475	475	0	475	0
29	481	481	0	479	2
3	483	483	0	483	0
30	496	496	0	495	1
31	475	475	0	473	2
32	477	477	0	476	1
33	490	490	0	490	0
34	474	474	0	474	0
35	475	475	0	474	1
36	481	481	0	478	3
37	500	500	0	500	0
38	475	475	0	475	0
39	483	483	0	483	0
4	486	486	0	486	0
40	479	479	0	479	0
41	478	478	0	478	0
42	490	490	0	490	0
43	483	483	0	482	1
44	486	486	0	486	0
45	480	480	0	478	2
46	475	475	0	475	0
47	493	493	0	492	1
48	479	479	0	478	1
49	497	497	0	495	2
5	482	482	0	481	1
50	499	499	0	499	0
51	478	478	0	477	1
52	468	468	0	467	1
53	477	477	0	476	1
54	476	476	0	475	1
55	468	468	0	468	0
56	484	484	0	484	0
57	468	468	0	468	0
58	467	467	0	464	3
59	486	486	0	485	1
6	476	476	0	476	0
60	479	479	0	478	1
61	482	482	0	482	0
62	496	496	0	496	0
63	485	485	0	484	1
64	479	479	0	478	1
65	471	471	0	469	2
66	485	485	0	485	0
67	474	474	0	474	0
68	479	478	0	478	0
69	482	482	0	482	0
7	484	484	0	482	2
70	477	477	0	477	0
71	488	488	0	487	1
72	486	486	0	485	1
73	489	489	0	489	0
74	480	480	0	478	2
75	506	506	0	506	0
76	489	489	0	488	1
77	492	492	0	492	0
78	472	472	0	471	1
79	459	459	0	459	0
8	470	470	0	469	1
80	474	474	0	474	0
81	468	468	0	466	2
82	477	477	0	475	2
83	479	479	0	479	0
84	479	479	0	477	2
85	489	489	0	489	0
86	481	481	0	481	0
87	472	472	0	472	0
88	487	487	0	487	0
89	496	496	0	495	1
9	482	482	0	480	2
90	478	478	0	477	1
91	465	465	0	465	0
92	483	483	0	483	0
93	478	478	0	476	2
94	481	481	0	478	3
95	493	493	0	493	0
96	484	484	0	484	0
97	466	466	0	462	4
98	488	488	0	487	1
99	473	473	0	473	0
